"league_id","season","stage","timeline_id","match_api_id","home_team_api_id","home_team_short_name","away_team_api_id","away_team_short_name","home_team_goal","away_team_goal","home_win","home_loss","home_draw","away_win","away_loss","away_draw","home_goal_diff_0","away_goal_diff_0","home_goal_diff_1","away_goal_diff_1","home_goal_diff_2","away_goal_diff_2","home_goal_diff_3","away_goal_diff_3","home_goal_diff_5","away_goal_diff_5","home_goal_diff_10","away_goal_diff_10","home_goal_diff_total","away_goal_diff_total"
1729,"2008/2009",11,11,489142,10260,"MUN",8667,"HUL",4,3,1,0,0,0,1,0,1,-1,2,3,6,4,8,5,11,6,11,6,11,6
1729,"2008/2009",11,11,489143,8586,"TOT",8650,"LIV",2,1,1,0,0,0,1,0,1,-1,2,1,1,2,1,4,-1,5,-1,5,-1,5
1729,"2008/2009",11,11,489144,8668,"EVE",9879,"FUL",1,0,1,0,0,0,1,0,1,-1,0,0,0,-1,-2,-2,-6,-6,-6,-6,-6,-6
1729,"2008/2009",11,11,489145,8549,"MID",8654,"WHU",1,1,0,0,1,0,0,1,0,0,2,-2,-3,-3,-4,-2,-2,-6,-2,-6,-2,-6
1729,"2008/2009",11,11,489146,10261,"NEW",10252,"AVL",2,0,1,0,0,0,1,0,2,-2,1,4,1,2,0,3,0,3,0,3,0,3
1729,"2008/2009",11,11,489147,8559,"BOL",8456,"MCI",2,0,1,0,0,0,1,0,2,-2,-1,-2,-1,-2,-3,-3,-1,-2,-1,-2,-1,-2
1729,"2008/2009",11,11,489148,8659,"WBA",8655,"BLB",2,2,0,0,1,0,0,1,0,0,-3,-1,-2,-1,-3,0,-3,-2,-3,-2,-3,-2
1729,"2008/2009",11,11,489149,8462,"POR",8528,"WIG",1,2,0,1,0,1,0,0,-1,1,0,-2,1,-3,3,-3,3,1,3,1,3,1
1729,"2008/2009",11,11,489150,10194,"STK",9825,"ARS",2,1,1,0,0,0,1,0,1,-1,1,2,2,2,0,4,0,7,0,7,0,7
1729,"2008/2009",11,11,489151,8455,"CHE",8472,"SUN",5,0,1,0,0,0,1,0,5,-5,-1,-1,1,-1,1,-2,5,-1,5,-1,5,-1
1729,"2008/2009",12,12,489152,9825,"ARS",10260,"MUN",2,1,1,0,0,0,1,0,1,-1,0,0,2,2,1,2,5,2,5,2,5,2
1729,"2008/2009",12,12,489153,8650,"LIV",8659,"WBA",3,0,1,0,0,0,1,0,3,-3,1,-1,2,-5,2,-4,4,-5,4,-5,4,-5
1729,"2008/2009",12,12,489154,8472,"SUN",8462,"POR",1,2,0,1,0,1,0,0,-1,1,1,-1,1,-1,3,-7,-1,-8,-1,-8,-1,-8
